px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-6.02509	-1.39593	5.21606	4.27426	-0.0944329	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404	2.67889
-6.16342	-1.60477	5.19582	4.25479	-0.112281	-6.27263	-1.50938	-6.18087	-1.55025	-2.44014	-4.52648	1.1811
-6.30604	-1.83855	5.2434	4.22573	-0.160639	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762	4.34858
-6.41152	-2.08555	5.25409	4.22718	-0.149153	-6.34007	-2.13685	-6.42954	-2.00014	-2.532	-4.46742	0.436963
-6.563	-2.29068	5.23311	4.20514	-0.165631	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585	3.13082
-6.71189	-2.50048	5.22157	4.18561	-0.179312	-6.79288	-2.4458	-6.68761	-2.44386	-2.62788	-4.40288	0.544275
-6.86752	-2.71354	5.22559	4.16403	-0.197238	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847	1.21972
-6.96018	-2.97775	5.25238	4.17937	-0.166362	-6.8003	-3.10086	-6.95546	-2.88084	-2.7274	-4.3326	2.35577
-7.08954	-3.2021	5.23975	4.17505	-0.157902	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523	0.219338
-7.21442	-3.39987	5.20288	4.16308	-0.164058	-7.12118	-3.26434	-7.23344	-3.3105	-2.83017	-4.25632	1.40417
-7.36053	-3.6448	5.23516	4.15855	-0.158253	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586	4.44183
-7.51936	-3.79053	5.15864	4.12317	-0.193381	-7.49009	-3.49081	-7.52184	-3.73223	-2.93579	-4.1738	5.01858
-7.66377	-3.9999	5.16079	4.11059	-0.199311	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012	0.484532
-7.81852	-4.22538	5.18057	4.10192	-0.197191	-7.88049	-4.29783	-7.82094	-4.14538	-3.04381	-4.08479	0.469485
-7.96954	-4.44313	5.18671	4.09376	-0.19434	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778	0.37757
-8.13116	-4.67762	5.21914	4.08751	-0.189357	-8.22492	-4.79812	-8.13095	-4.5493	-3.15376	-3.98906	1.20882
-8.27135	-4.88337	5.17226	4.08785	-0.168556	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862	2.56102
-8.40499	-5.10156	5.171	4.08801	-0.158309	-8.33552	-5.1059	-8.45204	-4.94331	-3.26514	-3.88641	0.27338
-8.55158	-5.27419	5.10226	4.07666	-0.15612	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242	4.20073
-8.74298	-5.47165	5.11929	4.05393	-0.173608	-8.91477	-5.51752	-8.78433	-5.32669	-3.37745	-3.77663	1.69139
-8.90168	-5.66989	5.10687	4.04548	-0.171142	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901	0.393198
-9.0601	-5.85648	5.09337	4.03313	-0.175895	-9.03391	-5.80267	-9.12788	-5.69872	-3.49012	-3.65955	0.19083
-9.19901	-6.01902	5.01681	4.02546	-0.169788	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823	6.66566
-9.37938	-6.12672	4.94543	3.98486	-0.209107	-9.30811	-5.82368	-9.4827	-6.05868	-3.60261	-3.53503	5.39139
-9.55369	-6.31027	4.94635	3.97201	-0.211012	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994	0.882558
-9.69607	-6.51542	4.95192	3.9769	-0.192608	-9.62547	-6.55958	-9.84874	-6.4058	-3.71431	-3.40295	0.43352
-9.91568	-6.67576	4.98734	3.94071	-0.227005	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404	6.83931
-10.1195	-6.83746	4.99331	3.91491	-0.243982	-10.2246	-6.83402	-10.2259	-6.73933	-3.82463	-3.26321	0.629811
-10.3034	-7.00008	4.99766	3.89703	-0.252098	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046	1.07276
-10.5323	-7.17574	5.03745	3.87147	-0.266629	-10.7616	-7.29159	-10.614	-7.05849	-3.93293	-3.11577	3.43397
-10.7367	-7.31918	5.03648	3.84504	-0.282972	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916	1.98882
-10.9819	-7.47671	5.07438	3.81332	-0.302887	-11.2219	-7.56979	-11.0128	-7.36252	-4.03859	-2.96062	3.48731
-11.1708	-7.61885	5.042	3.79704	-0.304032	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015	1.28685
-11.3229	-7.77232	5.00292	3.79702	-0.287044	-11.0934	-7.6776	-11.422	-7.65064	-4.14093	-2.79777	3.22748
-11.5184	-7.90114	4.97487	3.77619	-0.294802	-11.4213	-7.46085	-11.6304	-7.78849	-4.19066	-2.71349	1.91473
-11.7009	-8.00618	4.92708	3.75246	-0.306386	-11.5269	-7.8215	-11.8413	-7.92208	-4.23932	-2.6273	3.34037
-11.8956	-8.12173	4.8681	3.73093	-0.313595	-11.9422	-7.88317	-12.0546	-8.05131	-4.28682	-2.53924	2.13265
-12.1122	-8.21217	4.84862	3.69571	-0.336832	-12.09	-8.08828	-12.2702	-8.17609	-4.33309	-2.44932	0.927713
-12.3359	-8.33954	4.90072	3.67565	-0.339754	-12.4462	-8.02117	-12.4881	-8.29633	-4.37802	-2.35756	2.53328
-12.5412	-8.4197	4.86557	3.64438	-0.357186	-12.4231	-8.2599	-12.7082	-8.41193	-4.42156	-2.26399	2.09004
-12.7483	-8.50788	4.81297	3.61667	-0.370452	-12.7461	-8.19449	-12.9304	-8.5228	-4.4636	-2.16863	1.9622
-13.0243	-8.59453	4.85952	3.5741	-0.39718	-13.2911	-8.64594	-13.1547	-8.62886	-4.50407	-2.07151	3.96053
-13.2701	-8.69499	4.90245	3.54994	-0.400057	-13.7929	-8.47158	-13.381	-8.73002	-4.54289	-1.97267	2.70394
-13.4932	-8.74092	4.87218	3.51099	-0.42279	-13.384	-8.57583	-13.6092	-8.82619	-4.57997	-1.87214	2.11272
-13.7115	-8.78397	4.80607	3.47098	-0.449568	-13.6376	-8.26344	-13.8392	-8.91729	-4.61524	-1.76997	4.03569
-13.9386	-8.8914	4.82114	3.46202	-0.433556	-13.9959	-8.99264	-14.0709	-9.00324	-4.64861	-1.6662	0.745306
-14.1861	-8.98265	4.88478	3.4488	-0.417803	-14.4737	-8.79552	-14.3043	-9.08395	-4.68001	-1.56086	2.85038
-14.4097	-9.09093	4.89009	3.44535	-0.39764	-14.4273	-9.1875	-14.5391	-9.15936	-4.70936	-1.45402	0.579601
-14.6393	-9.16187	4.87719	3.4252	-0.399366	-14.5757	-9.32634	-14.7754	-9.22939	-4.73658	-1.34573	0.249444
-14.9225	-9.15981	4.90648	3.36747	-0.441738	-15.062	-9.04396	-15.013	-9.29397	-4.76161	-1.23603	2.11365
-15.1786	-9.23366	4.93652	3.35244	-0.432123	-15.6189	-9.69365	-15.2517	-9.35302	-4.78436	-1.125	4.50422
-15.4416	-9.34557	4.98003	3.35439	-0.404035	-15.6682	-9.56749	-15.4916	-9.40649	-4.80476	-1.01269	5.30888
-15.6861	-9.37536	4.94789	3.32018	-0.426145	-15.9382	-9.35751	-15.7324	-9.45431	-4.82275	-0.899159	1.99799
-15.943	-9.45787	4.97351	3.31476	-0.407354	-16.0862	-9.59819	-15.9741	-9.49642	-4.83827	-0.784484	2.12985
-16.1949	-9.46765	4.95889	3.27692	-0.431154	-16.6033	-8.85459	-16.2164	-9.53277	-4.85124	-0.668734	2.31277
-16.4469	-9.46181	4.95938	3.23874	-0.449983	-16.4229	-9.37029	-16.4594	-9.5633	-4.8616	-0.55198	0.539611
-16.6682	-9.46027	4.91221	3.20588	-0.466833	-16.011	-9.33486	-16.7027	-9.58797	-4.8693	-0.434301	5.22526
-16.9493	-9.44683	4.95199	3.16734	-0.482788	-17.1132	-9.43043	-16.9464	-9.60673	-4.87427	-0.315773	1.48857
-17.2005	-9.50531	4.97464	3.17091	-0.446343	-16.9255	-10.8571	-17.1903	-9.61954	-4.87646	-0.196479	7.83509
-17.4603	-9.52281	4.98914	3.1533	-0.440632	-17.5448	-9.57485	-17.4342	-9.62636	-4.87583	-0.0765024	0.510752
-17.718	-9.51232	4.98738	3.12251	-0.454544	-18.1371	-9.39146	-17.6781	-9.62717	-4.87232	0.0440703	1.70531
-17.9726	-9.48019	4.9945	3.08886	-0.46656	-17.9724	-9.42299	-17.9216	-9.62194	-4.86588	0.165151	0.207577
-18.2177	-9.44217	4.97693	3.05147	-0.488408	-18.3083	-9.18778	-18.1648	-9.61064	-4.85648	0.286648	0.744807
-18.4246	-9.48396	4.92327	3.05765	-0.455976	-18.2763	-9.60997	-18.4074	-9.59325	-4.84408	0.40847	2.32612
-18.6615	-9.46986	4.92331	3.0429	-0.442571	-18.2443	-9.58547	-18.6493	-9.56977	-4.82864	0.530522	1.67978
